# HELP free5gc_sbi_inbound_request_duration_seconds Histogram of request latencies
# TYPE free5gc_sbi_inbound_request_duration_seconds histogram
free5gc_sbi_outbound_request_duration_seconds_bucket{method="PUT",nf_type="ausf",status_code="201 Created",target_service_name="nnrf-nfm",le="0.05"} 0
free5gc_sbi_outbound_request_duration_seconds_bucket{method="PUT",nf_type="ausf",status_code="201 Created",target_service_name="nnrf-nfm",le="+Inf"} 1
free5gc_sbi_outbound_request_duration_seconds_sum{method="PUT",nf_type="ausf",status_code="201 Created",target_service_name="nnrf-nfm"} 0.051836641
free5gc_sbi_outbound_request_duration_seconds_count{method="PUT",nf_type="ausf",status_code="201 Created",target_service_name="nnrf-nfm"} 1
# HELP free5gc_sbi_outbound_request_total Total number of SBI outbound requests attempted or sent by the NF
# TYPE free5gc_sbi_outbound_request_total counter
free5gc_sbi_outbound_request_total{method="GET",nf_type="ausf",status_code="200 OK",target_service_name="nnrf-disc"} 21
free5gc_sbi_outbound_request_total{method="POST",nf_type="ausf",status_code="200 OK",target_service_name="nudm-ueau"} 21
free5gc_sbi_outbound_request_total{method="POST",nf_type="ausf",status_code="201 Created",target_service_name="nudm-ueau"} 21
free5gc_sbi_outbound_request_total{method="PUT",nf_type="ausf",status_code="201 Created",target_service_name="nnrf-nfm"} 1
